Sample number, Date/Time,Channel 1 (°C)
0,9/3/2020 17:8:41,27.3826
1,9/3/2020 17:8:42,27.37156
2,9/3/2020 17:8:43,27.37892
3,9/3/2020 17:8:44,27.37524
4,9/3/2020 17:8:45,27.37892
5,9/3/2020 17:8:46,27.37892
6,9/3/2020 17:8:47,27.37524
7,9/3/2020 17:8:48,27.36788
8,9/3/2020 17:8:49,27.36777
9,9/3/2020 17:8:50,27.36409
10,9/3/2020 17:8:51,27.36409
11,9/3/2020 17:8:52,27.36764
12,9/3/2020 17:8:53,27.35647
13,9/3/2020 17:8:54,27.36382
14,9/3/2020 17:8:55,27.34898
15,9/3/2020 17:8:56,27.34898
16,9/3/2020 17:8:57,27.3453
17,9/3/2020 17:8:58,27.36001
18,9/3/2020 17:8:59,27.3562
19,9/3/2020 17:9:0,27.35252
20,9/3/2020 17:9:1,27.34871
21,9/3/2020 17:9:2,27.35252
22,9/3/2020 17:9:3,27.35239
23,9/3/2020 17:9:4,27.35962
24,9/3/2020 17:9:5,27.36343
25,9/3/2020 17:9:6,27.37434
26,9/3/2020 17:9:7,27.37814
27,9/3/2020 17:9:8,27.37801
28,9/3/2020 17:9:9,27.38906
29,9/3/2020 17:9:10,27.39628
30,9/3/2020 17:9:11,27.41481
31,9/3/2020 17:9:12,27.42203
32,9/3/2020 17:9:13,27.42571
33,9/3/2020 17:9:14,27.44779
34,9/3/2020 17:9:15,27.45882
35,9/3/2020 17:9:16,27.47354
36,9/3/2020 17:9:17,27.4809
37,9/3/2020 17:9:18,27.49194
38,9/3/2020 17:9:19,27.51034
39,9/3/2020 17:9:20,27.51769
40,9/3/2020 17:9:21,27.54345
41,9/3/2020 17:9:22,27.55817
42,9/3/2020 17:9:23,27.56539
43,9/3/2020 17:9:24,27.5763
44,9/3/2020 17:9:25,27.59102
45,9/3/2020 17:9:26,27.61323
46,9/3/2020 17:9:27,27.62045
47,9/3/2020 17:9:28,27.63517
48,9/3/2020 17:9:29,27.64989
49,9/3/2020 17:9:30,27.66106
50,9/3/2020 17:9:31,27.67932
51,9/3/2020 17:9:32,27.70127
52,9/3/2020 17:9:33,27.7123
53,9/3/2020 17:9:34,27.73793
54,9/3/2020 17:9:35,27.7416
55,9/3/2020 17:9:36,27.75987
56,9/3/2020 17:9:37,27.76723
57,9/3/2020 17:9:38,27.78549
58,9/3/2020 17:9:39,27.81124
59,9/3/2020 17:9:40,27.81111
60,9/3/2020 17:9:41,27.82583
61,9/3/2020 17:9:42,27.84042
62,9/3/2020 17:9:43,27.85172
63,9/3/2020 17:9:44,27.87366
64,9/3/2020 17:9:45,27.89192
65,9/3/2020 17:9:46,27.91768
66,9/3/2020 17:9:47,27.92504
67,9/3/2020 17:9:48,27.93976
68,9/3/2020 17:9:49,27.95447
69,9/3/2020 17:9:50,27.96932
70,9/3/2020 17:9:51,27.98391
71,9/3/2020 17:9:52,28.0023
72,9/3/2020 17:9:53,28.01702
73,9/3/2020 17:9:54,28.0207
74,9/3/2020 17:9:55,28.03923
75,9/3/2020 17:9:56,28.05381
76,9/3/2020 17:9:57,28.07234
77,9/3/2020 17:9:58,28.07983
78,9/3/2020 17:9:59,28.091
79,9/3/2020 17:10:0,28.10927
80,9/3/2020 17:10:1,28.12766
81,9/3/2020 17:10:2,28.12753
82,9/3/2020 17:10:3,28.15315
83,9/3/2020 17:10:4,28.16419
84,9/3/2020 17:10:5,28.17523
85,9/3/2020 17:10:6,28.1864
86,9/3/2020 17:10:7,28.20467
87,9/3/2020 17:10:8,28.2157
88,9/3/2020 17:10:9,28.2341
89,9/3/2020 17:10:10,28.24514
90,9/3/2020 17:10:11,28.27089
91,9/3/2020 17:10:12,28.2747
92,9/3/2020 17:10:13,28.30046
93,9/3/2020 17:10:14,28.31518
94,9/3/2020 17:10:15,28.32254
95,9/3/2020 17:10:16,28.33357
96,9/3/2020 17:10:17,28.35197
97,9/3/2020 17:10:18,28.35184
98,9/3/2020 17:10:19,28.37773
99,9/3/2020 17:10:20,28.38495
100,9/3/2020 17:10:21,28.40335
101,9/3/2020 17:10:22,28.41425
102,9/3/2020 17:10:23,28.42897
103,9/3/2020 17:10:24,28.44001
104,9/3/2020 17:10:25,28.45473
105,9/3/2020 17:10:26,28.45827
106,9/3/2020 17:10:27,28.48035
107,9/3/2020 17:10:28,28.49139
108,9/3/2020 17:10:29,28.52095
109,9/3/2020 17:10:30,28.52818
110,9/3/2020 17:10:31,28.53922
111,9/3/2020 17:10:32,28.5429
112,9/3/2020 17:10:33,28.56484
113,9/3/2020 17:10:34,28.58691
114,9/3/2020 17:10:35,28.59047
115,9/3/2020 17:10:36,28.60531
116,9/3/2020 17:10:37,28.6199
117,9/3/2020 17:10:38,28.64211
118,9/3/2020 17:10:39,28.65682
119,9/3/2020 17:10:40,28.6789
120,9/3/2020 17:10:41,28.6973
121,9/3/2020 17:10:42,28.71201
122,9/3/2020 17:10:43,28.73764
123,9/3/2020 17:10:44,28.75603
124,9/3/2020 17:10:45,28.77443
125,9/3/2020 17:10:46,28.80754
126,9/3/2020 17:10:47,28.83685
127,9/3/2020 17:10:48,28.84421
128,9/3/2020 17:10:49,28.86996
129,9/3/2020 17:10:50,28.89204
130,9/3/2020 17:10:51,28.91779
131,9/3/2020 17:10:52,28.92515
132,9/3/2020 17:10:53,28.9509
133,9/3/2020 17:10:54,28.98034
134,9/3/2020 17:10:55,28.99873
135,9/3/2020 17:10:56,29.02449
136,9/3/2020 17:10:57,29.05392
137,9/3/2020 17:10:58,29.06851
138,9/3/2020 17:10:59,29.10162
139,9/3/2020 17:11:0,29.13119
140,9/3/2020 17:11:1,29.16049
141,9/3/2020 17:11:2,29.18625
142,9/3/2020 17:11:3,29.212
143,9/3/2020 17:11:4,29.23776
144,9/3/2020 17:11:5,29.24879
145,9/3/2020 17:11:6,29.28559
146,9/3/2020 17:11:7,29.31134
147,9/3/2020 17:11:8,29.33723
148,9/3/2020 17:11:9,29.36653
149,9/3/2020 17:11:10,29.38138
150,9/3/2020 17:11:11,29.41068
151,9/3/2020 17:11:12,29.43644
152,9/3/2020 17:11:13,29.46219
153,9/3/2020 17:11:14,29.48427
154,9/3/2020 17:11:15,29.52106
155,9/3/2020 17:11:16,29.54682
156,9/3/2020 17:11:17,29.56522
157,9/3/2020 17:11:18,29.58361
158,9/3/2020 17:11:19,29.62408
159,9/3/2020 17:11:20,29.64984
160,9/3/2020 17:11:21,29.66837
161,9/3/2020 17:11:22,29.68676
162,9/3/2020 17:11:23,29.70884
163,9/3/2020 17:11:24,29.73459
164,9/3/2020 17:11:25,29.76403
165,9/3/2020 17:11:26,29.78978
166,9/3/2020 17:11:27,29.81567
167,9/3/2020 17:11:28,29.85233
168,9/3/2020 17:11:29,29.85983
169,9/3/2020 17:11:30,29.88558
170,9/3/2020 17:11:31,29.90397
171,9/3/2020 17:11:32,29.93709
172,9/3/2020 17:11:33,29.95917
173,9/3/2020 17:11:34,29.99228
174,9/3/2020 17:11:35,30.01421
175,9/3/2020 17:11:36,30.03607
176,9/3/2020 17:11:37,30.05429
177,9/3/2020 17:11:38,30.07979
178,9/3/2020 17:11:39,30.09437
179,9/3/2020 17:11:40,30.11987
180,9/3/2020 17:11:41,30.14186
181,9/3/2020 17:11:42,30.16723
182,9/3/2020 17:11:43,30.18545
